PERIODO;MES;CODIGO_ESTABLECIMIENTO;ESTABLECIMIENTO;AREA_FUNCIONAL;INDICE_OCUPACIONAL_PREDICHO;VALOR_REAL
2026;4;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Pensionado;38.95;43.1
2026;5;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Pensionado;37.49;39.17
2026;6;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Pensionado;45.28;
2026;7;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Pensionado;47.77;
2026;8;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Pensionado;47.51;
2026;9;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Pensionado;46.96;
2026;10;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Pensionado;46.49;
2026;11;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Pensionado;42.12;
2026;12;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Pensionado;46.01;
2026;1;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Psiquiatría Adulto Corta estadía;92.14;97.24
2026;2;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Psiquiatría Adulto Corta estadía;91.01;95.66
2026;3;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Psiquiatría Adulto Corta estadía;93.66;99.19
2026;4;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Psiquiatría Adulto Corta estadía;97.07;97.14
2026;5;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Psiquiatría Adulto Corta estadía;96.38;97.47
2026;6;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Psiquiatría Adulto Corta estadía;97.13;
2026;7;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Psiquiatría Adulto Corta estadía;96.0;
2026;8;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Psiquiatría Adulto Corta estadía;94.93;
2026;9;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Psiquiatría Adulto Corta estadía;94.12;
2026;10;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Psiquiatría Adulto Corta estadía;92.79;
2026;11;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Psiquiatría Adulto Corta estadía;93.11;
2026;12;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Psiquiatría Adulto Corta estadía;90.86;
2026;1;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Adultos;96.58;96.85
2026;2;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Adultos;94.93;96.65
2026;3;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Adultos;95.1;96.77
2026;4;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Adultos;95.36;95.63
2026;5;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Adultos;95.39;98.26
2026;6;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Adultos;96.87;
2026;7;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Adultos;96.06;
2026;8;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Adultos;93.98;
2026;9;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Adultos;95.42;
2026;10;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Adultos;94.92;
2026;11;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Adultos;94.51;
2026;12;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Adultos;92.38;
2026;1;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Pediátricos;76.47;52.29
2026;2;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Pediátricos;58.21;40.31
2026;3;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Pediátricos;50.61;31.65
2026;4;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Pediátricos;43.63;64.29
2026;5;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Pediátricos;60.85;65.44
2026;6;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Pediátricos;71.07;
2026;7;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Pediátricos;73.6;
2026;8;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Pediátricos;77.49;
2026;9;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Pediátricos;77.21;
2026;10;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Pediátricos;74.3;
2026;11;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Pediátricos;74.53;
2026;12;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intensivos Pediátricos;70.64;
2026;1;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Adultos;90.51;97.85
2026;2;114101;Complejo Hospitalario Dr Sótero del Río (Santiago, Puente Alto);Área Cuidados Intermedios Adultos;95.61;98.69
